what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1307717781773
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1307717781783
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1307717781783
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1307717781798
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1307717781798
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1307717781823
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1307717781863
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1307717781873
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1307717781888
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1307717781908
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1307717781923
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1307717781943
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1307717781958
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1307717781958
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1307717781973
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1307717781988
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1307717782003
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1307717782008
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1307717782018
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1307717782033
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1307717782033
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1307717782068
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1307717782078
os,sysinfo,,,"win32",1307717782083
arch,sysinfo,,,"x86",1307717782083
ws,sysinfo,,,"win32",1307717782083
locale,sysinfo,,,"en_US",1307717782083
processors,sysinfo,,,"2",1307717782088
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1307717782088
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1307717782088
java.specification.name,sysinfo,,,"Java Platform API Specification",1307717782088
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307717782088
java.specification.version,sysinfo,,,"1.6",1307717782088
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1307717782088
java.version,sysinfo,,,"1.6.0_24",1307717782088
java.vm.info,sysinfo,,,"mixed mode, sharing",1307717782088
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1307717782088
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1307717782088
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307717782088
java.vm.specification.version,sysinfo,,,"1.0",1307717782088
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1307717782088
java.vm.version,sysinfo,,,"19.1-b02",1307717782088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307717782093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307717784338
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307717840242
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307717840317
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307717842532
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1307717847862
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1307717848660
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1307717849683
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1307717849880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307717849896
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1307717851063
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307717851951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307717856148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307717875547
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307717875854
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307717878511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718096863
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718122307
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307718122360
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718132904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718144754
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307718144811
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307718147214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718154210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718164558
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307718164654
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307718166930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718263367
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718315495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718335324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718591477
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307718593162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718599527
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718761047
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1307718761645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718776079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718776094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718776103
